diagnosis_key,ccsr_diagnosis_code,ccsr_diagnosis_description
228,MBD021,STIMULANT-RELATED DISORDERS
229,MBD022,HALLUCINOGEN-RELATED DISORDERS
230,MBD023,INHALANT-RELATED DISORDERS
231,MBD025,OTHER SPECIFIED SUBSTANCE-RELATED DISORDERS
232,MBD026,MENTAL AND SUBSTANCE USE DISORDERS IN REMISSION
233,MUS001,INFECTIVE ARTHRITIS
234,MUS002,OSTEOMYELITIS
235,MUS003,RHEUMATOID ARTHRITIS AND RELATED DISEASE
236,MUS004,JUVENILE ARTHRITIS
237,MUS006,OSTEOARTHRITIS
238,MUS007,OTHER SPECIFIED JOINT DISORDERS
239,MUS008,IMMUNE-MEDIATED/REACTIVE ARTHROPATHIES
240,MUS009,TENDON AND SYNOVIAL DISORDERS
241,MUS010,"MUSCULOSKELETAL PAIN, NOT LOW BACK PAIN"
242,MUS011,SPONDYLOPATHIES/SPONDYLOARTHROPATHY (INCLUDING INFECTIVE)
243,MUS012,BIOMECHANICAL LESIONS
244,MUS013,OSTEOPOROSIS
245,MUS014,"PATHOLOGICAL FRACTURE, INITIAL ENCOUNTER"
246,MUS015,"PATHOLOGICAL FRACTURE, SUBSEQUENT ENCOUNTER"
247,MUS016,"STRESS FRACTURE, INITIAL ENCOUNTER"
248,MUS017,"STRESS FRACTURE, SUBSEQUENT ENCOUNTER"
249,MUS018,"ATYPICAL FRACTURE, INITIAL ENCOUNTER"
250,MUS020,"PATHOLOGICAL, STRESS AND ATYPICAL FRACTURES, SEQUELA"
251,MUS021,ACQUIRED FOOT DEFORMITIES
252,MUS022,SCOLIOSIS AND OTHER POSTURAL DORSOPATHIC DEFORMITIES
253,MUS023,ACQUIRED DEFORMITIES (EXCLUDING FOOT)
254,MUS024,SYSTEMIC LUPUS ERYTHEMATOSUS AND CONNECTIVE TISSUE DISORDERS
255,MUS025,OTHER SPECIFIED CONNECTIVE TISSUE DISEASE
256,MUS026,MUSCLE DISORDERS
257,MUS027,MUSCULOSKELETAL ABSCESS
258,MUS028,OTHER SPECIFIED BONE DISEASE AND MUSCULOSKELETAL DEFORMITIES
259,MUS029,DISORDERS OF JAW
260,MUS030,ASEPTIC NECROSIS AND OSTEONECROSIS
261,MUS031,TRAUMATIC ARTHROPATHY
262,MUS032,NEUROGENIC/NEUROPATHIC ARTHROPATHY
263,MUS033,GOUT
264,MUS034,CRYSTAL ARTHROPATHIES (EXCLUDING GOUT)
265,MUS036,AUTOINFLAMMATORY SYNDROMES
266,MUS037,POSTPROCEDURAL OR POSTOPERATIVE MUSCULOSKELETAL SYSTEM COMPLICATION
267,MUS038,LOW BACK PAIN
268,NEO001,HEAD AND NECK CANCERS - EYE
269,NEO002,HEAD AND NECK CANCERS - LIP AND ORAL CAVITY
270,NEO003,HEAD AND NECK CANCERS - THROAT
271,NEO004,HEAD AND NECK CANCERS - SALIVARY GLAND
272,NEO005,HEAD AND NECK CANCERS - NASOPHARYNGEAL
273,NEO006,HEAD AND NECK CANCERS - HYPOPHARYNGEAL
274,NEO007,HEAD AND NECK CANCERS - PHARYNGEAL
275,NEO008,HEAD AND NECK CANCERS - LARYNGEAL
276,NEO009,HEAD AND NECK CANCERS - TONSILS
277,NEO010,HEAD AND NECK CANCERS - ALL OTHER TYPES
278,NEO011,CARDIAC CANCERS
279,NEO012,GASTROINTESTINAL CANCERS - ESOPHAGUS
280,NEO013,GASTROINTESTINAL CANCERS - STOMACH
281,NEO014,GASTROINTESTINAL CANCERS - SMALL INTESTINE
282,NEO015,GASTROINTESTINAL CANCERS - COLORECTAL
